2026-07-13 04:03:12,449 INFO polycopycat.engine.engine: 正在初始化目标持仓镜像……
2026-07-13 04:03:13,454 INFO polycopycat.engine.engine: 跟单引擎已启动（paper 模式，3 个目标，滑点上限 0.020，聚合窗口 2.0s）
2026-07-13 04:03:13,455 INFO polycopycat.watcher: 开始监控 3 个地址，每 30.0 秒轮询一次: 0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d, 0xdc8923aa7d6b293af2974c521092d0026ac37ac3, 0x344f3b43711f48770930ce731d934df3b2999dec
2026-07-13 04:03:13,472 INFO polycopycat.watcher: 0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d 基线建立完成，已缓存最近 100 条成交
2026-07-13 04:03:13,488 INFO polycopycat.watcher: 0xdc8923aa7d6b293af2974c521092d0026ac37ac3 基线建立完成，已缓存最近 100 条成交
2026-07-13 04:03:13,506 INFO polycopycat.watcher: 0x344f3b43711f48770930ce731d934df3b2999dec 基线建立完成，已缓存最近 100 条成交
2026-07-13 04:03:13,779 INFO websocket: Websocket connected
2026-07-13 04:03:13,779 INFO polycopycat.stream: 实时成交流已连接: wss://ws-live-data.polymarket.com
2026-07-13 04:03:17,174 INFO polycopycat.engine.engine: skipped: 计划量 0.48 份低于市场最小下单量 5.00（计划金额 $0.29） —— 0xdc89…7ac3 BUY 10.00 @ 0.590 [Up] Solana Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:17,175 INFO polycopycat.engine.engine: filtered: 目标成交金额 $0.50 低于阈值 $1.00 —— 0xdc89…7ac3 SELL 1.22 @ 0.410 [Down] Solana Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:17,274 INFO polycopycat.engine.engine: skipped: 自己没有该市场持仓，忽略卖出信号 —— 0xdc89…7ac3 SELL 6.00 @ 0.550 [Down] Ethereum Up or Down - July 13, 12:00AM-12:05AM ET（并 2 笔）
2026-07-13 04:03:17,374 INFO polycopycat.engine.engine: skipped: 计划量 0.76 份低于市场最小下单量 5.00（计划金额 $0.32） —— 0xdc89…7ac3 BUY 15.99 @ 0.403 [Down] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:17,375 INFO polycopycat.engine.engine: skipped: 自己没有该市场持仓，忽略卖出信号 —— 0xdc89…7ac3 SELL 6.00 @ 0.610 [Up] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:20,441 INFO polycopycat.engine.engine: skipped: 自己没有该市场持仓，忽略卖出信号 —— 0xdc89…7ac3 SELL 5.00 @ 0.600 [Up] Solana Up or Down - July 13, 12:00AM-12:05AM ET（并 2 笔）
2026-07-13 04:03:20,442 INFO polycopycat.engine.engine: skipped: 自己没有该市场持仓，忽略卖出信号 —— 0x20d2…e29d SELL 5.00 @ 0.370 [Down] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:20,443 INFO polycopycat.engine.engine: skipped: 自己没有该市场持仓，忽略卖出信号 —— 0xdc89…7ac3 SELL 8.29 @ 0.700 [Up] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET（并 2 笔）
2026-07-13 04:03:23,157 INFO polycopycat.engine.engine: skipped: 自己没有该市场持仓，忽略卖出信号 —— 0xdc89…7ac3 SELL 6.00 @ 0.670 [Up] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:23,158 INFO polycopycat.engine.engine: skipped: 计划量 0.44 份低于市场最小下单量 5.00（计划金额 $0.15） —— 0xdc89…7ac3 BUY 9.21 @ 0.330 [Down] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:23,250 INFO polycopycat.engine.engine: skipped: 计划量 0.43 份低于市场最小下单量 5.00（计划金额 $0.22） —— 0xdc89…7ac3 BUY 9.00 @ 0.480 [Up] XRP Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:23,250 INFO polycopycat.engine.engine: skipped: 计划量 0.30 份低于市场最小下单量 5.00（计划金额 $0.19） —— 0x20d2…e29d BUY 6.19 @ 0.620 [Up] Solana Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:23,251 INFO polycopycat.engine.engine: skipped: 自己没有该市场持仓，忽略卖出信号 —— 0xdc89…7ac3 SELL 4.27 @ 0.570 [Up] Ethereum Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:23,252 INFO polycopycat.engine.engine: skipped: 自己没有该市场持仓，忽略卖出信号 —— 0xdc89…7ac3 SELL 2.19 @ 0.620 [Up] Solana Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:23,255 INFO polycopycat.engine.engine: skipped: 自己没有该市场持仓，忽略卖出信号 —— 0x20d2…e29d SELL 9.00 @ 0.460 [Down] Ethereum Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:23,256 INFO polycopycat.engine.engine: skipped: 自己没有该市场持仓，忽略卖出信号 —— 0xdc89…7ac3 SELL 9.00 @ 0.480 [Up] XRP Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:25,260 INFO polycopycat.engine.engine: skipped: 计划量 0.28 份低于市场最小下单量 5.00（计划金额 $0.16） —— 0x20d2…e29d BUY 6.00 @ 0.540 [Up] Ethereum Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:25,261 INFO polycopycat.engine.engine: skipped: 自己没有该市场持仓，忽略卖出信号 —— 0xdc89…7ac3 SELL 4.72 @ 0.570 [Up] Ethereum Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:25,261 INFO polycopycat.engine.engine: skipped: 计划量 0.17 份低于市场最小下单量 5.00（计划金额 $0.09） —— 0xdc89…7ac3 BUY 3.61 @ 0.520 [Down] XRP Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:25,262 INFO polycopycat.engine.engine: skipped: 计划量 0.34 份低于市场最小下单量 5.00（计划金额 $0.17） —— 0x20d2…e29d BUY 7.14 @ 0.490 [Up] XRP Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:27,418 INFO polycopycat.engine.engine: skipped: 计划量 0.29 份低于市场最小下单量 5.00（计划金额 $0.19） —— 0x20d2…e29d BUY 6.10 @ 0.620 [Up] Solana Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:27,419 INFO polycopycat.engine.engine: skipped: 自己没有该市场持仓，忽略卖出信号 —— 0xdc89…7ac3 SELL 7.00 @ 0.624 [Up] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:27,420 INFO polycopycat.engine.engine: skipped: 自己没有该市场持仓，忽略卖出信号 —— 0xdc89…7ac3 SELL 9.04 @ 0.560 [Up] Solana Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:27,422 INFO polycopycat.engine.engine: skipped: 计划量 0.96 份低于市场最小下单量 5.00（计划金额 $0.37） —— 0xdc89…7ac3 BUY 19.99 @ 0.375 [Down] Solana Up or Down - July 13, 12:00AM-12:05AM ET（并 3 笔）
2026-07-13 04:03:27,422 INFO polycopycat.engine.engine: skipped: 计划量 0.33 份低于市场最小下单量 5.00（计划金额 $0.16） —— 0xdc89…7ac3 BUY 7.00 @ 0.460 [Up] Ethereum Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:27,423 INFO polycopycat.engine.engine: filtered: 目标成交金额 $0.72 低于阈值 $1.00 —— 0xdc89…7ac3 BUY 1.38 @ 0.520 [Down] XRP Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:27,424 INFO polycopycat.engine.engine: skipped: 自己没有该市场持仓，忽略卖出信号 —— 0xdc89…7ac3 SELL 9.58 @ 0.540 [Up] Ethereum Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:27,424 INFO polycopycat.engine.engine: skipped: 计划量 0.29 份低于市场最小下单量 5.00（计划金额 $0.11） —— 0xdc89…7ac3 BUY 6.17 @ 0.360 [Down] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:03:27,425 INFO polycopycat.engine.engine: skipped: 计划量 1.64 份低于市场最小下单量 5.00（计划金额 $0.62） —— 0x20d2…e29d BUY 33.76 @ 0.369 [Down] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:13,608 WARNING polycopycat.watcher: 0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d 本轮 100 条全部是新成交，可能超出了单页窗口有遗漏，建议缩短轮询间隔或调大 page_size
2026-07-13 04:05:15,641 INFO polycopycat.engine.engine: 过滤: 信号已过期 354s（阈值 120s） —— 0x20d2…e29d BUY 6.76 @ 0.170 [Down] Bitcoin Up or Down - July 12, 11:55PM-12:00AM ET
2026-07-13 04:05:15,642 INFO polycopycat.engine.engine: 过滤: 信号已过期 354s（阈值 120s） —— 0x20d2…e29d BUY 6.07 @ 0.168 [Down] Bitcoin Up or Down - July 12, 11:55PM-12:00AM ET
2026-07-13 04:05:15,643 INFO polycopycat.engine.engine: 过滤: 信号已过期 353s（阈值 120s） —— 0x20d2…e29d BUY 53.90 @ 0.590 [Down] Ethereum Up or Down - July 12, 11:55PM-12:00AM ET
2026-07-13 04:05:15,644 INFO polycopycat.engine.engine: 过滤: 信号已过期 353s（阈值 120s） —— 0x20d2…e29d SELL 4.00 @ 0.315 [Up] Bitcoin Up or Down - July 12, 11:45PM-12:00AM ET
2026-07-13 04:05:15,645 INFO polycopycat.engine.engine: 过滤: 信号已过期 353s（阈值 120s） —— 0x20d2…e29d SELL 2.00 @ 0.460 [Up] Ethereum Up or Down - July 12, 11:55PM-12:00AM ET
2026-07-13 04:05:15,647 INFO polycopycat.engine.engine: 过滤: 信号已过期 353s（阈值 120s） —— 0x20d2…e29d BUY 6.08 @ 0.701 [Down] Bitcoin Up or Down - July 12, 11:45PM-12:00AM ET
2026-07-13 04:05:15,648 INFO polycopycat.engine.engine: 过滤: 信号已过期 353s（阈值 120s） —— 0x20d2…e29d BUY 8.70 @ 0.580 [Down] Bitcoin Up or Down - July 12, 11:45PM-12:00AM ET
2026-07-13 04:05:15,649 INFO polycopycat.engine.engine: 过滤: 信号已过期 353s（阈值 120s） —— 0x20d2…e29d SELL 1.00 @ 0.430 [Up] Bitcoin Up or Down - July 12, 11:45PM-12:00AM ET
2026-07-13 04:05:15,650 INFO polycopycat.engine.engine: 过滤: 信号已过期 351s（阈值 120s） —— 0x20d2…e29d BUY 11.69 @ 0.800 [Down] Bitcoin Up or Down - July 12, 11:45PM-12:00AM ET
2026-07-13 04:05:15,651 INFO polycopycat.engine.engine: 过滤: 信号已过期 348s（阈值 120s） —— 0x20d2…e29d SELL 4.00 @ 0.390 [Up] Ethereum Up or Down - July 12, 11:55PM-12:00AM ET
2026-07-13 04:05:15,652 INFO polycopycat.engine.engine: 过滤: 信号已过期 347s（阈值 120s） —— 0x20d2…e29d SELL 17.00 @ 0.342 [Up] Ethereum Up or Down - July 12, 11:55PM-12:00AM ET
2026-07-13 04:05:15,653 INFO polycopycat.engine.engine: 过滤: 信号已过期 345s（阈值 120s） —— 0x20d2…e29d BUY 7.14 @ 0.696 [Down] Ethereum Up or Down - July 12, 11:55PM-12:00AM ET
2026-07-13 04:05:15,654 INFO polycopycat.engine.engine: 过滤: 信号已过期 345s（阈值 120s） —— 0x20d2…e29d SELL 2.00 @ 0.286 [Up] Ethereum Up or Down - July 12, 11:55PM-12:00AM ET
2026-07-13 04:05:15,655 INFO polycopycat.engine.engine: 过滤: 信号已过期 345s（阈值 120s） —— 0x20d2…e29d SELL 2.00 @ 0.280 [Up] Ethereum Up or Down - July 12, 11:55PM-12:00AM ET
2026-07-13 04:05:15,656 INFO polycopycat.engine.engine: 过滤: 信号已过期 341s（阈值 120s） —— 0x20d2…e29d SELL 1.00 @ 0.680 [Down] Ethereum Up or Down - July 12, 11:55PM-12:00AM ET
2026-07-13 04:05:15,658 INFO polycopycat.engine.engine: 过滤: 信号已过期 341s（阈值 120s） —— 0x20d2…e29d SELL 5.00 @ 0.680 [Down] Ethereum Up or Down - July 12, 11:55PM-12:00AM ET
2026-07-13 04:05:15,659 INFO polycopycat.engine.engine: 过滤: 信号已过期 327s（阈值 120s） —— 0x20d2…e29d BUY 1.23 @ 0.410 [Up] Ethereum Up or Down - July 12, 11:55PM-12:00AM ET
2026-07-13 04:05:15,660 INFO polycopycat.engine.engine: 过滤: 信号已过期 327s（阈值 120s） —— 0x20d2…e29d BUY 9.50 @ 0.120 [Up] XRP Up or Down - July 12, 11:55PM-12:00AM ET
2026-07-13 04:05:15,661 INFO polycopycat.engine.engine: 过滤: 信号已过期 326s（阈值 120s） —— 0x20d2…e29d BUY 25.00 @ 0.068 [Up] Bitcoin Up or Down - July 12, 11:45PM-12:00AM ET
2026-07-13 04:05:15,662 INFO polycopycat.engine.engine: 过滤: 信号已过期 326s（阈值 120s） —— 0x20d2…e29d BUY 11.57 @ 0.210 [Up] XRP Up or Down - July 12, 11:55PM-12:00AM ET
2026-07-13 04:05:15,663 INFO polycopycat.engine.engine: 过滤: 信号已过期 306s（阈值 120s） —— 0x20d2…e29d BUY 5.49 @ 0.720 [Down] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,664 INFO polycopycat.engine.engine: 过滤: 信号已过期 300s（阈值 120s） —— 0x20d2…e29d BUY 6.87 @ 0.288 [Up] Ethereum Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,665 INFO polycopycat.engine.engine: 过滤: 信号已过期 300s（阈值 120s） —— 0x20d2…e29d BUY 7.97 @ 0.280 [Up] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,666 INFO polycopycat.engine.engine: 过滤: 信号已过期 297s（阈值 120s） —— 0x20d2…e29d BUY 6.00 @ 0.380 [Up] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,667 INFO polycopycat.engine.engine: 过滤: 信号已过期 290s（阈值 120s） —— 0x20d2…e29d BUY 6.79 @ 0.610 [Down] Ethereum Up or Down - July 13, 12:00AM-12:15AM ET
2026-07-13 04:05:15,668 INFO polycopycat.engine.engine: 过滤: 信号已过期 290s（阈值 120s） —— 0x20d2…e29d BUY 6.77 @ 0.700 [Down] Ethereum Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,670 INFO polycopycat.engine.engine: 过滤: 信号已过期 288s（阈值 120s） —— 0x20d2…e29d BUY 5.79 @ 0.700 [Down] Ethereum Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,671 INFO polycopycat.engine.engine: 过滤: 信号已过期 288s（阈值 120s） —— 0x20d2…e29d BUY 6.77 @ 0.700 [Down] Ethereum Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,672 INFO polycopycat.engine.engine: 过滤: 信号已过期 287s（阈值 120s） —— 0x20d2…e29d BUY 6.43 @ 0.700 [Down] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,673 INFO polycopycat.engine.engine: 过滤: 信号已过期 287s（阈值 120s） —— 0x20d2…e29d BUY 5.07 @ 0.710 [Down] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,674 INFO polycopycat.engine.engine: 过滤: 信号已过期 287s（阈值 120s） —— 0x20d2…e29d BUY 5.61 @ 0.570 [Down] Bitcoin Up or Down - July 13, 12:00AM-12:15AM ET
2026-07-13 04:05:15,676 INFO polycopycat.engine.engine: 过滤: 信号已过期 282s（阈值 120s） —— 0x20d2…e29d BUY 5.05 @ 0.440 [Up] Bitcoin Up or Down - July 13, 12:00AM-12:15AM ET
2026-07-13 04:05:15,677 INFO polycopycat.engine.engine: 过滤: 信号已过期 278s（阈值 120s） —— 0x20d2…e29d BUY 42.00 @ 0.510 [Up] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,678 INFO polycopycat.engine.engine: 过滤: 信号已过期 278s（阈值 120s） —— 0x20d2…e29d BUY 5.00 @ 0.400 [Up] Solana Up or Down - July 13, 12:00AM-12:15AM ET
2026-07-13 04:05:15,679 INFO polycopycat.engine.engine: 过滤: 信号已过期 264s（阈值 120s） —— 0x20d2…e29d BUY 5.18 @ 0.570 [Down] Ethereum Up or Down - July 13, 12:00AM-12:15AM ET
2026-07-13 04:05:15,681 INFO polycopycat.engine.engine: 过滤: 信号已过期 264s（阈值 120s） —— 0x20d2…e29d BUY 5.23 @ 0.640 [Down] Ethereum Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,682 INFO polycopycat.engine.engine: 过滤: 信号已过期 264s（阈值 120s） —— 0x20d2…e29d BUY 5.55 @ 0.640 [Down] Ethereum Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,683 INFO polycopycat.engine.engine: 过滤: 信号已过期 260s（阈值 120s） —— 0x20d2…e29d BUY 6.21 @ 0.280 [Up] XRP Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,684 INFO polycopycat.engine.engine: 过滤: 信号已过期 245s（阈值 120s） —— 0x20d2…e29d SELL 6.00 @ 0.550 [Up] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,685 INFO polycopycat.engine.engine: 过滤: 信号已过期 243s（阈值 120s） —— 0x20d2…e29d BUY 6.00 @ 0.380 [Up] Solana Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,686 INFO polycopycat.engine.engine: 过滤: 信号已过期 239s（阈值 120s） —— 0x20d2…e29d BUY 6.29 @ 0.420 [Up] Solana Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,687 INFO polycopycat.engine.engine: 过滤: 信号已过期 239s（阈值 120s） —— 0x20d2…e29d BUY 5.00 @ 0.260 [Up] XRP Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,689 INFO polycopycat.engine.engine: 过滤: 信号已过期 239s（阈值 120s） —— 0x20d2…e29d BUY 6.14 @ 0.420 [Up] Solana Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,690 INFO polycopycat.engine.engine: 过滤: 信号已过期 237s（阈值 120s） —— 0x20d2…e29d BUY 4.19 @ 0.340 [Up] XRP Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,693 INFO polycopycat.engine.engine: 过滤: 信号已过期 234s（阈值 120s） —— 0x20d2…e29d BUY 17.00 @ 0.750 [Up] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,694 INFO polycopycat.engine.engine: 过滤: 信号已过期 233s（阈值 120s） —— 0x20d2…e29d BUY 9.00 @ 0.750 [Up] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,695 INFO polycopycat.engine.engine: 过滤: 信号已过期 233s（阈值 120s） —— 0x20d2…e29d SELL 2.00 @ 0.250 [Down] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
